Hora, Eólica, Nuclear, Fuel/gas, Carbón, Ciclo combinado, Hidráulica, Intercambios int, Enlace balear, Solar fotovoltaica, Solar térmica, Térmica renovable, Cogeneración y residuos
2024-04-12 21:00 ,2.839 ,4.301 ,0 ,252 ,4.412 ,10.603 ,4.044 ,-267 ,35 ,754 ,459 ,1.352 ,
2024-04-12 21:05 ,2.940 ,4.307 ,0 ,248 ,4.481 ,10.767 ,3.925 ,-267 ,27 ,729 ,462 ,1.357 ,
2024-04-12 21:10 ,2.994 ,4.305 ,0 ,248 ,4.329 ,10.817 ,4.206 ,-268 ,25 ,699 ,462 ,1.342 ,
2024-04-12 21:15 ,3.015 ,4.305 ,0 ,248 ,4.285 ,10.875 ,4.283 ,-267 ,25 ,694 ,462 ,1.348 ,
2024-04-12 21:20 ,3.049 ,4.303 ,0 ,248 ,4.382 ,10.951 ,4.042 ,-267 ,25 ,668 ,462 ,1.347 ,
2024-04-12 21:25 ,3.092 ,4.300 ,0 ,248 ,4.259 ,10.946 ,4.191 ,-268 ,24 ,663 ,462 ,1.356 ,
2024-04-12 21:30 ,3.105 ,4.307 ,0 ,248 ,4.147 ,10.906 ,4.306 ,-267 ,24 ,662 ,462 ,1.352 ,
2024-04-12 21:35 ,3.120 ,4.304 ,0 ,248 ,4.152 ,10.784 ,4.105 ,-267 ,23 ,653 ,462 ,1.357 ,
2024-04-12 21:40 ,3.124 ,4.305 ,0 ,248 ,4.099 ,10.586 ,4.218 ,-268 ,24 ,648 ,462 ,1.344 ,
2024-04-12 21:45 ,3.094 ,4.305 ,0 ,248 ,4.117 ,10.578 ,4.161 ,-268 ,23 ,647 ,462 ,1.356 ,
2024-04-12 21:50 ,3.087 ,4.307 ,0 ,248 ,4.045 ,10.472 ,4.186 ,-267 ,23 ,642 ,462 ,1.352 ,
2024-04-12 21:55 ,3.113 ,4.307 ,0 ,249 ,3.948 ,10.252 ,4.057 ,-268 ,23 ,636 ,462 ,1.351 ,
2024-04-12 22:00 ,3.118 ,4.304 ,0 ,249 ,3.965 ,10.265 ,3.790 ,-243 ,23 ,635 ,462 ,1.324 ,
2024-04-12 22:05 ,3.122 ,4.300 ,0 ,248 ,4.023 ,10.384 ,3.384 ,-217 ,19 ,632 ,459 ,1.345 ,
2024-04-12 22:10 ,3.131 ,4.306 ,0 ,248 ,4.017 ,10.433 ,3.086 ,-205 ,19 ,630 ,459 ,1.338 ,
2024-04-12 22:15 ,3.140 ,4.304 ,0 ,248 ,4.002 ,10.337 ,2.980 ,-205 ,19 ,629 ,459 ,1.335 ,
2024-04-12 22:20 ,3.146 ,4.304 ,0 ,248 ,3.965 ,10.058 ,2.947 ,-205 ,19 ,628 ,459 ,1.303 ,
2024-04-12 22:25 ,3.142 ,4.309 ,0 ,248 ,3.970 ,9.960 ,2.929 ,-204 ,19 ,628 ,459 ,1.336 ,
2024-04-12 22:30 ,3.158 ,4.304 ,0 ,248 ,3.981 ,9.990 ,2.729 ,-204 ,19 ,627 ,459 ,1.337 ,
2024-04-12 22:35 ,3.115 ,4.308 ,0 ,248 ,3.991 ,9.989 ,2.837 ,-205 ,19 ,628 ,459 ,1.339 ,
2024-04-12 22:40 ,3.096 ,4.305 ,0 ,248 ,3.988 ,9.900 ,2.821 ,-205 ,19 ,624 ,459 ,1.336 ,
2024-04-12 22:45 ,3.001 ,4.309 ,0 ,248 ,3.992 ,9.678 ,2.880 ,-205 ,18 ,621 ,459 ,1.341 ,
2024-04-12 22:50 ,2.919 ,4.307 ,0 ,252 ,3.981 ,9.693 ,2.748 ,-205 ,18 ,621 ,459 ,1.344 ,
2024-04-12 22:55 ,2.910 ,4.305 ,0 ,250 ,3.940 ,9.530 ,2.634 ,-204 ,18 ,620 ,459 ,1.320 ,
